"Data Table: Acute myocardial infarction, Age-standardized all-cause mortality rate and rate ratio, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Mortality without the condition (per 100,000)","Standard Error of mortality without the condition","Lower 95%_CI of mortality without the condition","Upper 95%_CI of mortality without the condition","Rate CV (%) of mortality without the condition","Counts of mortality without the condition","Population of mortality without the condition","Mortality with the condition (per 100,000)","Standard Error of mortality with the condition","Lower 95%_CI of mortality with the condition","Upper 95%_CI of mortality with the condition","Rate CV (%) of mortality with the condition","Counts of mortality with the condition","Population of mortality with the condition","Rate ratio","Lower 95%_CI of rate ratio","Upper 95%_CI of rate ratio",
"British Columbia","Females","Total","20+","2013–2014","575","5.01","565","585","0.87","14035","1903330","3293","451.82","2467","13358","13.72","1950","20240","5.72","4.37","7.50",
"British Columbia","Males","Total","20+","2013–2014","822","6.88","809","836","0.84","14415","1804940","2266","319.45","1684","5994","14.09","2605","46230","2.76","2.09","3.63",
"British Columbia","Both sexes","Total","20+","2014–2015","675","4.02","667","683","0.60","28880","3755470","2426","275.55","1916","4894","11.36","4780","69190","3.59","2.88","4.49",
"British Columbia","Females","Total","20+","2014–2015","572","4.93","563","582","0.86","14430","1928535","3267","811.54","1875","13541","24.84","1870","20875","5.71","3.51","9.29",
"British Columbia","Males","Total","20+","2014–2015","798","6.67","785","811","0.84","14450","1826930","2287","298.31","1740","5587","13.04","2910","48315","2.87","2.22","3.70",
"British Columbia","Both sexes","Total","20+","2015–2016","687","4.00","679","695","0.58","30310","3815935","2269","261.81","1785","5217","11.54","4780","71550","3.30","2.63","4.14",
"British Columbia","Females","Total","20+","2015–2016","576","4.89","567","586","0.85","14910","1959805","2242","245.09","1788","17816","10.93","1900","21540","3.89","3.14","4.83",
"British Columbia","Males","Total","20+","2015–2016","821","6.64","808","834","0.81","15395","1856120","2274","310.71","1706","5995","13.66","2875","50000","2.77","2.12","3.62",
"British Columbia","Both sexes","Total","20+","2016–2017","723","4.05","715","731","0.56","32875","3885935","2987","433.52","2198","5793","14.52","5075","74165","4.13","3.11","5.49",
"British Columbia","Females","Total","20+","2016–2017","604","4.95","595","614","0.82","16110","1995310","","","","","","","","","","",
"British Columbia","Males","Total","20+","2016–2017","863","6.70","850","876","0.78","16765","1890620","2627","383.26","1930","5969","14.59","3035","51885","3.04","2.29","4.05",
"British Columbia","Both sexes","Total","20+","2017–2018","703","3.95","695","711","0.56","32850","3966605","2680","427.88","1908","6060","15.97","5130","76480","3.81","2.79","5.22",
"British Columbia","Females","Total","20+","2017–2018","567","4.72","558","576","0.83","15585","2036070","2436","247.18","1976","12600","10.14","2070","22795","4.30","3.52","5.25",
"British Columbia","Males","Total","20+","2017–2018","861","6.60","848","874","0.77","17260","1930530","2719","526.33","1787","7798","19.36","3065","53690","3.16","2.16","4.62",
"British Columbia","Both sexes","Total","20+","2018–2019","688","3.86","680","695","0.56","33005","4053230","1948","73.46","1806","5173","3.77","5130","78910","2.83","2.63","3.05",
"British Columbia","Females","Total","20+","2018–2019","566","4.68","557","575","0.83","15885","2079915","2106","157.91","1808","17708","7.50","1975","23400","3.72","3.21","4.31",
"British Columbia","Males","Total","20+","2018–2019","828","6.38","816","841","0.77","17125","1973320","1904","81.17","1748","6113","4.26","3160","55510","2.30","2.11","2.50",
"British Columbia","Both sexes","Total","20+","2019–2020","670","3.74","662","677","0.56","33440","4156660","","","","","","","","","","",
"British Columbia","Females","Total","20+","2019–2020","560","4.58","551","569","0.82","16280","2132170","2234","209.94","1842","34091","9.40","1990","24060","3.99","3.32","4.80",
"British Columbia","Males","Total","20+","2019–2020","798","6.15","786","810","0.77","17165","2024495","","","","","","","","","","",
"British Columbia","Both sexes","Total","20+","2020–2021*","702","3.80","694","709","0.54","35785","4229485","2846","363.92","2178","7793","12.79","5375","83830","4.06","3.16","5.21",
"British Columbia","Females","Total","20+","2020–2021*","558","4.52","549","567","0.81","16650","2170940","4251","1054.13","2442","9220","24.80","1990","24690","7.62","4.69","12.40",
"British Columbia","Males","Total","20+","2020–2021*","867","6.34","854","879","0.73","19135","2058545","2521","383.96","1825","7515","15.23","3390","59145","2.91","2.16","3.92",
"British Columbia","Both sexes","Total","20+","2021–2022*","745","3.86","737","753","0.52","39215","4355705","2529","327.59","1928","7487","12.96","5770","86085","3.39","2.63","4.38",
