"Data Table: Ischemic heart disease, Age-standardized all-cause mortality rate and rate ratio, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Mortality without the condition (per 100,000)","Standard Error of mortality without the condition","Lower 95%_CI of mortality without the condition","Upper 95%_CI of mortality without the condition","Rate CV (%) of mortality without the condition","Counts of mortality without the condition","Population of mortality without the condition","Mortality with the condition (per 100,000)","Standard Error of mortality with the condition","Lower 95%_CI of mortality with the condition","Upper 95%_CI of mortality with the condition","Rate CV (%) of mortality with the condition","Counts of mortality with the condition","Population of mortality with the condition","Rate ratio","Lower 95%_CI of rate ratio","Upper 95%_CI of rate ratio",
"Yukon Territory","Females","Total","20+","2013–2014","819","105.48","625","1065","12.88","75","14765","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2013–2014","1174","141.66","913","1503","12.06","105","15105","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2014–2015","843","75.85","701","1012","9.00","160","30190","1568","234.80","1142","33319","14.98","45","1080","1.86","1.32","2.62",
"Yukon Territory","Females","Total","20+","2014–2015","675","91.25","508","892","13.53","65","14995","1216","361.93","614","33126","29.76","10","335","1.80","0.95","3.42",
"Yukon Territory","Males","Total","20+","2014–2015","1075","134.97","827","1392","12.56","95","15190","1716","303.88","1173","17569","17.71","35","745","1.60","1.04","2.44",
"Yukon Territory","Both sexes","Total","20+","2015–2016","842","73.45","704","1004","8.72","170","30655","1426","273.57","941","33821","19.19","40","1150","1.69","1.12","2.56",
"Yukon Territory","Females","Total","20+","2015–2016","721","93.56","549","936","12.98","70","15260","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2015–2016","950","115.47","737","1224","12.16","100","15395","1618","351.26","1004","33943","21.71","30","785","1.70","1.05","2.77",
"Yukon Territory","Both sexes","Total","20+","2016–2017","893","74.21","753","1054","8.32","180","31340","1265","238.45","842","33508","18.85","40","1225","1.42","0.95","2.12",
"Yukon Territory","Females","Total","20+","2016–2017","839","98.09","657","1060","11.70","80","15670","1103","283.50","619","33052","25.70","15","375","1.32","0.76","2.29",
"Yukon Territory","Males","Total","20+","2016–2017","925","111.77","719","1188","12.08","100","15675","1266","323.97","712","33517","25.60","25","845","1.37","0.79","2.38",
"Yukon Territory","Both sexes","Total","20+","2017–2018","792","68.12","664","942","8.60","170","32165","1850","419.62","1121","34092","22.68","55","1275","2.34","1.45","3.76",
"Yukon Territory","Females","Total","20+","2017–2018","637","82.79","485","828","13.00","65","16110","1324","351.47","728","33993","26.54","15","395","2.08","1.17","3.71",
"Yukon Territory","Males","Total","20+","2017–2018","960","113.30","751","1222","11.80","105","16060","2160","626.86","1112","34320","29.01","40","875","2.25","1.22","4.16",
"Yukon Territory","Both sexes","Total","20+","2018–2019","852","69.88","721","1004","8.20","185","32640","1388","241.75","955","33581","17.41","50","1320","1.63","1.12","2.38",
"Yukon Territory","Females","Total","20+","2018–2019","718","86.09","559","913","11.99","80","16360","896","235.28","496","11631","26.25","20","415","1.25","0.71","2.20",
"Yukon Territory","Males","Total","20+","2018–2019","1021","118.65","802","1294","11.62","105","16275","1570","335.56","983","33697","21.37","35","910","1.54","0.95","2.48",
"Yukon Territory","Both sexes","Total","20+","2019–2020","833","69.20","703","983","8.31","175","33410","1479","276.68","987","17300","18.71","55","1415","1.78","1.19","2.65",
"Yukon Territory","Females","Total","20+","2019–2020","815","94.73","640","1027","11.62","80","16785","1249","319.21","704","33507","25.56","20","450","1.53","0.88","2.66",
"Yukon Territory","Males","Total","20+","2019–2020","823","102.67","635","1066","12.47","95","16630","1496","362.11","872","33656","24.21","35","970","1.82","1.06","3.10",
"Yukon Territory","Both sexes","Total","20+","2020–2021*","531","50.67","436","644","9.54","135","33920","1240","288.74","740","33714","23.28","45","1460","2.34","1.43","3.82",
"Yukon Territory","Females","Total","20+","2020–2021*","513","68.29","388","671","13.32","65","17090","764","209.23","411","33221","27.37","15","475","1.49","0.82","2.71",
"Yukon Territory","Males","Total","20+","2020–2021*","543","75.50","406","729","13.90","65","16825","1426","395.76","759","33835","27.74","30","985","2.63","1.43","4.82",
"Yukon Territory","Both sexes","Total","20+","2021–2022*","654","53.67","553","771","8.21","180","34730","1218","150.27","942","33691","12.34","65","1500","1.86","1.39","2.49",
"Yukon Territory","Females","Total","20+","2021–2022*","649","73.25","514","815","11.28","90","17500","977","221.30","592","33341","22.66","20","490","1.50","0.92","2.47",
"Yukon Territory","Males","Total","20+","2021–2022*","647","79.26","501","836","12.25","85","17225","1338","197.15","980","33763","14.73","45","1010","2.07","1.42","3.01",
"Yukon Territory","Both sexes","Total","20+","2022–2023*","514","48.21","424","620","9.37","130","35460","826","124.59","600","32883","15.08","50","1540","1.61","1.13","2.27",
"Yukon Territory","Females","Total","20+","2022–2023*","370","53.33","273","496","14.41","55","17810","755","190.94","429","32847","25.28","20","515","2.04","1.15","3.61",
"Yukon Territory","Males","Total","20+","2022–2023*","669","83.91","515","864","12.54","80","17660","870","163.91","579","33493","18.84","30","1020","1.30","0.83","2.03",
"Northwest Territories","Both sexes","Total","20+","2000–2001","1286","131.33","1041","1577","10.21","125","28890","2869","582.67","1843","34761","20.31","35","670","2.23","1.43","3.48",
"Northwest Territories","Females","Total","20+","2000–2001","1016","164.80","719","1416","16.22","50","13935","2767","889.57","1308","17884","32.14","15","240","2.72","1.34","5.52",
"Northwest Territories","Males","Total","20+","2000–2001","1560","214.14","1169","2077","13.72","75","14955","3032","757.08","1735","34907","24.97","20","430","1.94","1.11","3.40",
"Northwest Territories","Both sexes","Total","20+","2001–2002","1139","117.33","921","1405","10.30","135","28955","1562","426.00","842","33920","27.27","20","755","1.37","0.77","2.43",
"Northwest Territories","Females","Total","20+","2001–2002","897","146.41","633","1254","16.32","45","13965","","","","","","","","","","",
"Northwest Territories","Males","Total","20+","2001–2002","1403","192.58","1051","1880","13.73","85","14985","","","","","","","","","","",
"Northwest Territories","Both sexes","Total","20+","2002–2003","1227","127.75","989","1513","10.42","130","29650","2007","373.24","1344","9569","18.59","30","850","1.64","1.08","2.49",
"Northwest Territories","Females","Total","20+","2002–2003","1032","159.13","744","1407","15.42","55","14300","1528","476.11","742","32563","31.16","10","300","1.48","0.75","2.93",
"Northwest Territories","Males","Total","20+","2002–2003","1438","208.00","1059","1941","14.47","75","15350","2107","481.21","1271","9706","22.84","20","550","1.46","0.86","2.49",
"Northwest Territories","Both sexes","Total","20+","2003–2004","1384","138.33","1126","1692","10.00","155","29760","","","","","","","","","","",
"Northwest Territories","Females","Total","20+","2003–2004","1315","187.84","973","1754","14.29","65","14400","2037","523.33","1144","34223","25.69","15","325","1.55","0.87","2.76",
"Northwest Territories","Males","Total","20+","2003–2004","1454","213.19","1066","1975","14.66","85","15360","","","","","","","","","","",
"Northwest Territories","Both sexes","Total","20+","2004–2005","894","108.02","695","1144","12.08","110","30805","2136","320.45","1555","34255","15.00","50","1015","2.39","1.64","3.49",
"Northwest Territories","Females","Total","20+","2004–2005","948","169.47","645","1379","17.88","45","14860","1901","492.27","1062","33919","25.90","20","365","2.01","1.08","3.72",
"Northwest Territories","Males","Total","20+","2004–2005","913","175.71","601","1427","19.25","65","15945","2339","456.05","1532","34400","19.50","30","650","2.56","1.50","4.38",
"Northwest Territories","Both sexes","Total","20+","2005–2006","1033","114.35","821","1292","11.07","120","31425","2206","422.33","1457","34096","19.15","40","1035","2.13","1.38","3.29",
"Northwest Territories","Females","Total","20+","2005–2006","774","127.23","545","1103","16.44","50","15160","1096","330.78","547","33635","30.18","10","365","1.42","0.72","2.78",
"Northwest Territories","Males","Total","20+","2005–2006","1261","189.12","918","1742","15.00","70","16260","2894","596.65","1845","34780","20.62","30","670","2.30","1.39","3.78",
"Northwest Territories","Both sexes","Total","20+","2006–2007","1005","111.92","797","1259","11.14","125","31520","2037","349.05","1411","33982","17.14","40","1090","2.03","1.36","3.03",
"Northwest Territories","Females","Total","20+","2006–2007","612","112.19","412","898","18.32","40","15240","1759","449.27","991","32698","25.55","15","395","2.87","1.55","5.32",
"Northwest Territories","Males","Total","20+","2006–2007","1467","208.79","1087","1959","14.23","85","16280","2185","475.85","1354","34306","21.78","25","695","1.49","0.89","2.48",
"Northwest Territories","Both sexes","Total","20+","2007–2008","834","96.35","655","1057","11.56","115","32385","","","","","","","","","","",
"Northwest Territories","Females","Total","20+","2007–2008","809","132.44","571","1128","16.37","50","15710","1589","370.86","947","33346","23.35","25","420","1.96","1.12","3.43",
"Northwest Territories","Males","Total","20+","2007–2008","833","141.28","579","1208","16.96","70","16675","","","","","","","","","","",
"Northwest Territories","Both sexes","Total","20+","2008–2009","908","98.95","724","1134","10.90","130","33120","1652","265.77","1172","7790","16.09","50","1215","1.82","1.24","2.66",
"Northwest Territories","Females","Total","20+","2008–2009","801","130.96","565","1112","16.35","50","16060","1271","327.01","713","33153","25.73","15","445","1.59","0.87","2.88",
"Northwest Territories","Males","Total","20+","2008–2009","976","144.87","713","1357","14.85","80","17055","1810","363.41","1169","17646","20.07","30","765","1.86","1.14","3.03",
"Northwest Territories","Both sexes","Total","20+","2009–2010","784","87.61","622","987","11.17","125","33820","1962","335.38","1360","9657","17.10","50","1285","2.50","1.68","3.73",
"Northwest Territories","Females","Total","20+","2009–2010","626","108.47","431","896","17.34","45","16420","2685","867.48","1263","33376","32.31","20","475","4.29","2.09","8.80",
"Northwest Territories","Males","Total","20+","2009–2010","928","136.51","680","1276","14.71","70","17395","1836","383.14","1164","17669","20.86","25","800","1.98","1.20","3.26",
"Northwest Territories","Both sexes","Total","20+","2010–2011","780","88.56","617","982","11.35","110","30535","1306","199.89","944","33530","15.30","45","1305","1.67","1.15","2.43",
"Northwest Territories","Females","Total","20+","2010–2011","613","109.84","417","880","17.92","40","15230","1307","301.86","783","33754","23.10","20","485","2.13","1.20","3.78",
"Northwest Territories","Males","Total","20+","2010–2011","953","144.35","691","1313","15.15","75","15310","1295","268.63","823","33744","20.75","20","810","1.36","0.82","2.25",
"Northwest Territories","Both sexes","Total","20+","2011–2012","743","86.37","583","942","11.63","105","31680","1862","498.69","1016","33896","26.79","50","1345","2.51","1.41","4.44",
"Northwest Territories","Females","Total","20+","2011–2012","631","106.51","439","890","16.89","45","15720","1320","324.25","763","33764","24.57","20","510","2.09","1.17","3.75",
"Northwest Territories","Males","Total","20+","2011–2012","855","138.48","606","1207","16.19","60","15955","","","","","","","","","","",
"Northwest Territories","Both sexes","Total","20+","2012–2013","811","87.25","649","1009","10.75","125","32710","","","","","","","","","","",
"Northwest Territories","Females","Total","20+","2012–2013","770","115.67","560","1042","15.02","60","16195","","","","","","","","","","",
"Northwest Territories","Males","Total","20+","2012–2013","860","137.98","611","1209","16.04","65","16515","1806","327.61","1222","33838","18.14","35","875","2.10","1.31","3.37",
"Northwest Territories","Both sexes","Total","20+","2013–2014","873","92.37","701","1083","10.58","130","33180","1354","214.81","966","17315","15.87","45","1400","1.55","1.07","2.25",
"Northwest Territories","Females","Total","20+","2013–2014","751","119.82","535","1035","15.96","50","16380","1321","385.35","677","33772","29.18","20","545","1.76","0.92","3.37",
"Northwest Territories","Males","Total","20+","2013–2014","1007","147.90","738","1380","14.69","80","16800","1383","276.66","895","33796","20.01","30","865","1.37","0.84","2.23",
"Northwest Territories","Both sexes","Total","20+","2014–2015","996","97.49","814","1216","9.79","155","32275","1472","219.21","1074","17393","14.89","55","1430","1.48","1.04","2.10",
"Northwest Territories","Females","Total","20+","2014–2015","1060","140.90","802","1389","13.29","75","16040","1388","367.28","764","33809","26.46","25","550","1.31","0.73","2.34",
"Northwest Territories","Males","Total","20+","2014–2015","914","137.34","665","1255","15.02","80","16230","1496","279.59","999","33863","18.69","30","875","1.64","1.02","2.62",
"Northwest Territories","Both sexes","Total","20+","2015–2016","840","85.35","681","1033","10.17","140","32845","2079","389.46","1387","17731","18.73","70","1485","2.48","1.63","3.76",
"Northwest Territories","Females","Total","20+","2015–2016","767","108.87","569","1029","14.19","70","16295","","","","","","","","","","",
"Northwest Territories","Males","Total","20+","2015–2016","911","136.29","664","1251","14.95","75","16555","2255","348.31","1624","17951","15.45","50","925","2.47","1.62","3.77",
"Northwest Territories","Both sexes","Total","20+","2016–2017","1086","102.55","895","1313","9.44","165","33065","2189","299.72","1641","17788","13.69","80","1540","2.01","1.45","2.79",
"Northwest Territories","Females","Total","20+","2016–2017","1027","137.89","774","1345","13.43","70","16390","2139","562.71","1183","33713","26.30","30","585","2.08","1.17","3.72",
"Northwest Territories","Males","Total","20+","2016–2017","1174","163.35","876","1566","13.92","90","16665","2205","342.74","1585","17627","15.54","50","955","1.88","1.25","2.83",
"Northwest Territories","Both sexes","Total","20+","2017–2018","844","87.46","681","1041","10.37","140","32505","1917","238.06","1479","33897","12.42","80","1540","2.27","1.65","3.12",
"Northwest Territories","Females","Total","20+","2017–2018","858","125.53","630","1155","14.63","65","16195","1709","327.01","1130","33780","19.13","30","585","1.99","1.24","3.20",
"Northwest Territories","Males","Total","20+","2017–2018","818","124.85","592","1153","15.26","75","16305","2058","333.14","1458","17522","16.18","45","950","2.52","1.63","3.89",
"Northwest Territories","Both sexes","Total","20+","2018–2019","869","86.91","707","1065","10.00","150","32805","1752","257.98","1283","33799","14.72","70","1585","2.02","1.42","2.86",
"Northwest Territories","Females","Total","20+","2018–2019","684","100.55","502","937","14.69","65","16365","1408","280.09","914","33811","19.89","25","600","2.06","1.27","3.34",
"Northwest Territories","Males","Total","20+","2018–2019","1102","157.07","816","1489","14.26","85","16440","1996","374.60","1330","8122","18.77","45","985","1.81","1.14","2.87",
"Northwest Territories","Both sexes","Total","20+","2019–2020","899","85.67","739","1091","9.53","165","33015","1749","392.83","1066","33812","22.46","60","1605","1.95","1.21","3.14",
"Northwest Territories","Females","Total","20+","2019–2020","771","108.95","573","1034","14.13","70","16500","","","","","","","","","","",
"Northwest Territories","Males","Total","20+","2019–2020","1021","135.42","773","1360","13.26","95","16520","1285","235.41","866","33520","18.32","30","990","1.26","0.81","1.96",
"Northwest Territories","Both sexes","Total","20+","2020–2021*","1094","88.42","928","1290","8.08","225","32565","3915","1084.03","2087","35388","27.69","75","1620","3.58","2.03","6.30",
"Northwest Territories","Females","Total","20+","2020–2021*","863","110.80","660","1125","12.84","85","16355","","","","","","","","","","",
"Northwest Territories","Males","Total","20+","2020–2021*","1310","135.86","1057","1634","10.37","140","16205","4375","1454.19","2006","36073","33.24","50","1015","3.34","1.69","6.61",
"Northwest Territories","Both sexes","Total","20+","2021–2022*","1030","86.24","868","1220","8.38","205","32760","","","","","","","","","","",
"Northwest Territories","Females","Total","20+","2021–2022*","873","110.52","670","1132","12.66","85","16505","","","","","","","","","","",
"Northwest Territories","Males","Total","20+","2021–2022*","1208","137.42","954","1526","11.37","125","16265","1440","221.93","1039","33825","15.41","45","1025","1.19","0.82","1.74",
"Northwest Territories","Both sexes","Total","20+","2022–2023*","","","","","","","","","","","","","","","","","",
"Northwest Territories","Females","Total","20+","2022–2023*","","","","","","","","","","","","","","","","","",
"Northwest Territories","Males","Total","20+","2022–2023*","","","","","","","","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Nunavut","Females","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Nunavut","Males","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Nunavut","Females","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Nunavut","Males","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Nunavut","Females","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Nunavut","Males","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Nunavut","Females","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Nunavut","Males","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Nunavut","Females","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Nunavut","Males","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2005–2006","1437","204.66","1064","1965","14.24","95","17525","2896","782.91","1570","18575","27.04","15","340","2.01","1.11","3.67",
"Nunavut","Females","Total","20+","2005–2006","1411","349.20","812","2493","24.75","40","8585","","","","","","","","","","",
"Nunavut","Males","Total","20+","2005–2006","1640","327.95","1062","2675","19.99","60","8950","3936","1216.04","1925","19638","30.90","10","235","2.40","1.17","4.94",
"Nunavut","Both sexes","Total","20+","2006–2007","1783","246.10","1334","2405","13.80","120","18005","2422","772.15","1153","10316","31.88","10","370","1.36","0.69","2.68",
"Nunavut","Females","Total","20+","2006–2007","1609","399.10","924","2846","24.81","45","8825","","","","","","","","","","",
"Nunavut","Males","Total","20+","2006–2007","2361","495.83","1491","3852","21.00","75","9180","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2007–2008","1283","217.42","892","1847","16.95","80","17905","3127","956.90","1542","13541","30.60","20","395","2.44","1.23","4.84",
"Nunavut","Females","Total","20+","2007–2008","850","226.66","465","1591","26.67","25","8780","","","","","","","","","","",
"Nunavut","Males","Total","20+","2007–2008","1733","380.06","1070","2785","21.93","50","9120","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2008–2009","1279","186.28","940","1742","14.56","100","18715","","","","","","","","","","",
"Nunavut","Females","Total","20+","2008–2009","797","169.21","500","1337","21.23","40","9185","","","","","","","","","","",
"Nunavut","Males","Total","20+","2008–2009","1841","369.98","1188","2871","20.10","65","9535","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2009–2010","1356","193.73","1003","1864","14.29","115","19575","4199","1360.45","1970","35696","32.40","30","485","3.10","1.55","6.20",
"Nunavut","Females","Total","20+","2009–2010","1030","212.13","657","1683","20.60","45","9600","","","","","","","","","","",
"Nunavut","Males","Total","20+","2009–2010","1687","324.27","1113","2873","19.22","60","9970","3306","876.43","1817","13689","26.51","15","315","1.96","1.03","3.72",
"Nunavut","Both sexes","Total","20+","2010–2011","1133","172.03","821","1575","15.18","105","20490","2519","580.99","1512","34321","23.06","25","505","2.22","1.29","3.82",
"Nunavut","Females","Total","20+","2010–2011","963","229.81","567","1641","23.86","35","10055","","","","","","","","","","",
"Nunavut","Males","Total","20+","2010–2011","1196","228.17","792","1908","19.07","75","10445","3432","1053.60","1688","13942","30.70","15","330","2.87","1.41","5.83",
"Nunavut","Both sexes","Total","20+","2011–2012","1808","218.82","1405","2343","12.10","145","21295","2296","530.86","1376","34171","23.12","20","535","1.27","0.76","2.12",
"Nunavut","Females","Total","20+","2011–2012","1841","312.08","1280","2662","16.96","65","10485","2109","650.90","1033","34079","30.86","15","185","1.15","0.57","2.29",
"Nunavut","Males","Total","20+","2011–2012","1665","284.21","1156","2490","17.07","80","10815","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2012–2013","1547","208.60","1166","2063","13.48","130","21765","2620","565.86","1631","34383","21.60","25","565","1.69","1.03","2.79",
"Nunavut","Females","Total","20+","2012–2013","1337","243.02","904","2025","18.17","50","10680","","","","","","","","","","",
"Nunavut","Males","Total","20+","2012–2013","1777","356.55","1148","2730","20.07","80","11085","2552","681.73","1395","34578","26.72","15","370","1.44","0.75","2.76",
"Nunavut","Both sexes","Total","20+","2013–2014","1497","213.53","1108","2038","14.26","125","21735","2087","551.13","1150","34044","26.41","15","625","1.39","0.77","2.51",
"Nunavut","Females","Total","20+","2013–2014","1270","258.62","814","1995","20.37","50","10665","","","","","","","","","","",
"Nunavut","Males","Total","20+","2013–2014","1615","292.88","1093","2644","18.14","70","11065","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2014–2015","1038","165.64","739","1483","15.96","110","22135","1683","406.61","983","17465","24.15","25","670","1.62","0.92","2.86",
"Nunavut","Females","Total","20+","2014–2015","1087","255.70","645","1814","23.52","40","10900","","","","","","","","","","",
"Nunavut","Males","Total","20+","2014–2015","866","138.27","616","1533","15.97","65","11230","2006","626.21","972","8316","31.22","15","425","2.32","1.16","4.61",
"Nunavut","Both sexes","Total","20+","2015–2016","701","126.06","476","1064","17.98","65","22645","1421","448.54","683","17304","31.55","15","700","2.03","0.99","4.13",
"Nunavut","Females","Total","20+","2015–2016","711","163.94","427","1266","23.06","30","11160","","","","","","","","","","",
"Nunavut","Males","Total","20+","2015–2016","638","173.98","344","1289","27.28","40","11485","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2016–2017","1028","134.50","781","2394","13.08","115","23315","3406","1032.14","1693","18998","30.30","30","705","3.31","1.74","6.33",
"Nunavut","Females","Total","20+","2016–2017","1126","203.66","763","3908","18.08","55","11490","","","","","","","","","","",
"Nunavut","Males","Total","20+","2016–2017","853","139.15","602","3644","16.31","60","11830","3996","1256.30","1926","19613","31.44","20","445","4.68","2.34","9.38",
"Nunavut","Both sexes","Total","20+","2017–2018","1450","225.33","1042","2203","15.54","125","23920","1660","351.95","1044","33753","21.20","25","740","1.15","0.68","1.92",
"Nunavut","Females","Total","20+","2017–2018","1066","190.54","726","2065","17.87","45","11785","","","","","","","","","","",
"Nunavut","Males","Total","20+","2017–2018","1983","490.80","1141","3796","24.75","75","12135","1695","477.28","892","33792","28.16","15","470","0.85","0.41","1.78",
"Nunavut","Both sexes","Total","20+","2018–2019","1232","144.74","965","1678","11.75","150","24335","2871","745.70","1600","18434","25.98","30","760","2.33","1.33","4.07",
"Nunavut","Females","Total","20+","2018–2019","1258","199.53","898","1906","15.86","70","11975","","","","","","","","","","",
"Nunavut","Males","Total","20+","2018–2019","1191","208.61","817","2208","17.52","80","12360","2788","839.26","1394","34556","30.10","15","485","2.34","1.18","4.63",
"Nunavut","Both sexes","Total","20+","2019–2020","849","112.57","643","1271","13.26","110","24235","1951","457.53","1160","12368","23.45","30","775","2.30","1.36","3.90",
"Nunavut","Females","Total","20+","2019–2020","866","158.85","583","1634","18.34","50","11955","1745","571.44","811","33839","32.76","10","275","2.01","0.97","4.20",
"Nunavut","Males","Total","20+","2019–2020","780","143.21","525","1530","18.35","60","12285","1867","550.62","948","17635","29.50","15","495","2.39","1.21","4.73",
"Nunavut","Both sexes","Total","20+","2020–2021*","1037","141.03","779","1423","13.60","130","24290","","","","","","","","","","",
"Nunavut","Females","Total","20+","2020–2021*","927","174.51","617","1438","18.83","55","11980","","","","","","","","","","",
"Nunavut","Males","Total","20+","2020–2021*","1172","257.49","723","2091","21.97","70","12305","","","","","","","","","","",
"Nunavut","Both sexes","Total","20+","2021–2022*","1345","170.97","1031","1767","12.71","145","24625","2733","752.36","1464","18440","27.52","30","805","2.03","1.12","3.68",
"Nunavut","Females","Total","20+","2021–2022*","1244","207.10","872","1773","16.64","65","12165","","","","","","","","","","",
"Nunavut","Males","Total","20+","2021–2022*","1534","345.41","933","2608","22.52","85","12460","2662","668.95","1517","34646","25.13","20","515","1.74","0.90","3.36",
"Nunavut","Both sexes","Total","20+","2022–2023*","1052","139.56","796","1419","13.27","130","24910","1364","288.98","858","17227","21.18","25","830","1.30","0.79","2.12",
"Nunavut","Females","Total","20+","2022–2023*","973","169.23","670","1427","17.40","60","12300","","","","","","","","","","",
"Nunavut","Males","Total","20+","2022–2023*","1254","324.68","700","2462","25.89","70","12615","1539","410.39","843","17370","26.67","15","530","1.23","0.59","2.54",


"Notes: ",
"1. CI: Confidence Interval.",
"2. CV: Coefficient of variation.",
"3. *Many CCDSS measures, such as chronic disease incidence, were influenced by the COVID-19 pandemic. Changes in such measures may be driven by multiple factors, including (but not limited to) differences in healthcare seeking behaviour, the availability and use of healthcare services, as well as true changes in health status.  As such, CCDSS measures should be used cautiously when making inferences about population health during the COVID-19 pandemic. Guidance for data users on examining the impacts of the COVID-19 pandemic on CCDSS measures can be accessed below.",
"4. Data suppression: Estimates are not reported when the counts are less than 10 or the coefficient of variation is greater than 33.3%.",
"5. Due to periodic updates of the historical surveillance data, estimates for a particular disease and year may change over time, and may not be comparable to previous editions. ",
"6. Estimates are age-standardized to the 2011 Canadian population using unrounded counts and five-year age groups. Age-standardized estimates are useful for comparing data across years or between different geographical areas, but they do not reflect the actual impact of the disease.",
"7. Nunavut data are excluded before 2005–2006.",
"8. Newfoundland and Labrador data are excluded before 2008–2009. ",
"9. Yukon data are excluded before 2010–2011.  ",
"10. The modernization of the Quebec billing system for fee-for-service medical services by the Régie de l'assurance maladie du Québec (RAMQ) in 2016 has resulted in a decrease in the entry of diagnostic codes in the fee-for-service medical services file. Data for 2016–2017 and subsequent years should therefore be interpreted with caution, as a slight underestimation is suspected. ",
"11. The introduction of the Northwest Territories Electronic Medical Record (EMR) in 2016 resulted in more complete and consistent data. Data for 2016–2017 may be slightly underestimated compared to previous years due to the system transition.  ",
"12. New Brunswick data were not available for 2021–2022 and 2022–2023.",
"13. Northwest Territories data were not available for 2022–2023.",
"14. Northwest Territories physician claim data were incomplete for 2021–2022 and should therefore be interpreted with caution, as a slight underestimation is suspected.",
"15. These data were made possible through collaboration between PHAC and the respective provincial and territorial governments of British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador, Northwest Territories, Yukon, and Nunavut. No endorsement by the provinces and territories is intended or should be inferred. Provincial and territorial data were contributed to the CCDSS as of July 2024.",

"Source: ",
"Canadian Chronic Disease Surveillance System 2024",

"https://health-infobase.canada.ca/CCDSS/data-tool/",
"https://sante-infobase.canada.ca/SCSMC/outil-de-donnees/",
"Date downloaded: 2024-12-17"
