"Data Table: Ischemic heart disease, Age-standardized all-cause mortality rate and rate ratio, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Mortality without the condition (per 100,000)","Standard Error of mortality without the condition","Lower 95%_CI of mortality without the condition","Upper 95%_CI of mortality without the condition","Rate CV (%) of mortality without the condition","Counts of mortality without the condition","Population of mortality without the condition","Mortality with the condition (per 100,000)","Standard Error of mortality with the condition","Lower 95%_CI of mortality with the condition","Upper 95%_CI of mortality with the condition","Rate CV (%) of mortality with the condition","Counts of mortality with the condition","Population of mortality with the condition","Rate ratio","Lower 95%_CI of rate ratio","Upper 95%_CI of rate ratio",
"British Columbia","Males","Total","20+","2022–2023*","778","6.62","765","791","0.85","14390","2036410","1654","78.75","1503","1895","4.76","9835","223500","2.13","1.93","2.34",
"Yukon Territory","Both sexes","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2005–2006","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2005–2006","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2005–2006","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2006–2007","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2006–2007","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2006–2007","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2007–2008","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2007–2008","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2007–2008","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2008–2009","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2008–2009","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2008–2009","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2009–2010","","","","","","","","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2009–2010","","","","","","","","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2009–2010","","","","","","","","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2010–2011","857","83.47","701","1045","9.74","145","27890","2852","756.43","1567","18530","26.53","40","800","3.33","1.91","5.79",
"Yukon Territory","Females","Total","20+","2010–2011","734","107.24","539","983","14.61","60","13815","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2010–2011","963","130.50","724","1289","13.56","90","14080","2576","637.23","1482","34584","24.74","25","555","2.68","1.54","4.65",
"Yukon Territory","Both sexes","Total","20+","2011–2012","1098","94.34","920","1306","8.60","170","28640","","","","","","","","","","",
"Yukon Territory","Females","Total","20+","2011–2012","832","110.99","629","1090","13.33","70","14200","","","","","","","","","","",
"Yukon Territory","Males","Total","20+","2011–2012","1397","162.64","1096","1779","11.64","110","14450","","","","","","","","","","",
"Yukon Territory","Both sexes","Total","20+","2012–2013","968","86.21","806","1158","8.91","165","29470","1533","279.20","1036","17443","18.21","35","915","1.58","1.07","2.36",
"Yukon Territory","Females","Total","20+","2012–2013","770","103.39","581","1011","13.43","70","14565","1259","412.65","584","33524","32.79","10","270","1.63","0.82","3.27",
"Yukon Territory","Males","Total","20+","2012–2013","1177","144.51","911","1517","12.28","100","14915","1717","370.30","1070","33790","21.57","25","645","1.46","0.90","2.37",
"Yukon Territory","Both sexes","Total","20+","2013–2014","985","85.63","825","1175","8.69","175","29870","1736","452.69","965","33813","26.08","35","995","1.76","1.03","3.02",
