"Data Table: Heart failure, Age-standardized all-cause mortality rate and rate ratio, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Mortality without the condition (per 100,000)","Standard Error of mortality without the condition","Lower 95%_CI of mortality without the condition","Upper 95%_CI of mortality without the condition","Rate CV (%) of mortality without the condition","Counts of mortality without the condition","Population of mortality without the condition","Mortality with the condition (per 100,000)","Standard Error of mortality with the condition","Lower 95%_CI of mortality with the condition","Upper 95%_CI of mortality with the condition","Rate CV (%) of mortality with the condition","Counts of mortality with the condition","Population of mortality with the condition","Rate ratio","Lower 95%_CI of rate ratio","Upper 95%_CI of rate ratio",
"Saskatchewan","Both sexes","Total","40+","2021–2022*","1109","13.52","1083","1136","1.22","6955","575475","7823","451.48","6963","8857","5.77","3335","24150","7.05","6.28","7.92",
"Saskatchewan","Females","Total","40+","2021–2022*","908","16.45","876","941","1.81","3270","291100","8466","822.62","6931","10471","9.72","1720","11745","9.32","7.68","11.31",
"Saskatchewan","Males","Total","40+","2021–2022*","1350","22.56","1306","1395","1.67","3690","284380","7392","504.85","6436","8648","6.83","1620","12410","5.48","4.77","6.28",
"Saskatchewan","Both sexes","Total","40+","2022–2023*","1097","13.30","1071","1124","1.21","7025","582480","7808","447.23","6956","8819","5.73","3330","23800","7.12","6.35","7.98",
"Saskatchewan","Females","Total","40+","2022–2023*","910","16.26","878","942","1.79","3345","295050","7398","626.23","6222","8980","8.46","1715","11425","8.13","6.87","9.64",
"Saskatchewan","Males","Total","40+","2022–2023*","1316","22.06","1274","1360","1.68","3680","287430","8123","620.13","6953","9576","7.63","1615","12375","6.17","5.29","7.19",
"Alberta","Both sexes","Total","40+","2000–2001","1083","11.03","1062","1105","1.02","10145","1229825","6773","218.10","6353","7253","3.22","5775","42705","6.25","5.85","6.68",
"Alberta","Females","Total","40+","2000–2001","890","12.99","865","916","1.46","4775","624975","6757","366.54","6058","7613","5.42","2905","22110","7.59","6.80","8.48",
"Alberta","Males","Total","40+","2000–2001","1337","19.83","1298","1377","1.48","5370","604855","7000","270.41","6480","7623","3.86","2870","20595","5.24","4.83","5.68",
"Alberta","Both sexes","Total","40+","2001–2002","1052","10.67","1031","1073","1.01","10205","1273900","7105","247.76","6628","7639","3.49","5880","45770","6.75","6.29","7.25",
"Alberta","Females","Total","40+","2001–2002","861","12.56","837","886","1.46","4770","647335","6662","389.31","5921","7555","5.84","2980","23655","7.74","6.88","8.71",
"Alberta","Males","Total","40+","2001–2002","1307","19.33","1270","1346","1.48","5435","626560","7590","322.72","6971","8305","4.25","2905","22120","5.81","5.32","6.34",
"Alberta","Both sexes","Total","40+","2002–2003","1054","10.49","1033","1075","1.00","10565","1317510","6116","214.24","5703","6585","3.50","5910","48125","5.80","5.40","6.23",
"Alberta","Females","Total","40+","2002–2003","872","12.40","848","897","1.42","5020","669720","5572","327.43","4949","6337","5.88","3025","24735","6.39","5.67","7.19",
"Alberta","Males","Total","40+","2002–2003","1303","19.02","1266","1341","1.46","5545","647785","6616","284.05","6071","7262","4.29","2885","23390","5.08","4.64","5.55",
"Alberta","Both sexes","Total","40+","2003–2004","1037","10.21","1017","1057","0.99","10765","1356670","6581","221.84","6154","7064","3.37","6425","50480","6.35","5.93","6.80",
"Alberta","Females","Total","40+","2003–2004","860","12.11","837","884","1.41","5115","689720","6319","337.03","5676","7107","5.33","3295","25760","7.35","6.59","8.19",
"Alberta","Males","Total","40+","2003–2004","1273","18.42","1237","1310","1.45","5650","666950","6921","294.75","6355","7581","4.26","3135","24720","5.44","4.98","5.94",
"Alberta","Both sexes","Total","40+","2004–2005","996","9.81","977","1015","0.99","10725","1391805","5832","201.67","5444","6279","3.46","6325","52170","5.86","5.46","6.29",
"Alberta","Females","Total","40+","2004–2005","826","11.65","803","849","1.41","5085","708170","5381","291.03","4825","6080","5.41","3255","26495","6.51","5.84","7.27",
"Alberta","Males","Total","40+","2004–2005","1221","17.58","1187","1256","1.44","5645","683645","6286","278.96","5751","6926","4.44","3075","25680","5.15","4.70","5.64",
"Alberta","Both sexes","Total","40+","2005–2006","977","9.49","959","996","0.97","10990","1429510","6073","204.52","5679","6522","3.37","6220","54155","6.21","5.80","6.66",
"Alberta","Females","Total","40+","2005–2006","809","11.31","787","831","1.40","5165","727475","5176","275.60","4650","5836","5.32","3080","27370","6.40","5.75","7.13",
"Alberta","Males","Total","40+","2005–2006","1198","16.86","1165","1231","1.41","5825","702035","6837","293.42","6274","7501","4.29","3140","26790","5.71","5.22","6.24",
