Geography,Incidence_heart_failure,Incidence_ischemic_failure,Incidence_myocardial_failure
British Columbia,629.0,650.0,195.0
Manitoba,589.0,477.0,215.0
New Brunswick,541.0,795.0,319.0
Newfoundland and Labrador,473.0,643.0,320.0
Northwest Territories,342.0,437.0,190.0
Nova Scotia,475.0,541.0,293.0
Nunavut,453.0,257.0,105.0
Prince Edward Island,539.0,481.0,286.0
Quebec,553.0,680.0,305.0
Saskatchewan,608.0,542.0,200.0
Yukon Territory,619.0,445.0,218.0
