"Data Table: Acute myocardial infarction, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Canada","Males","Total","20+","2020–2021*","261","1.32","259","264","0.51","39160","14984630",
"Canada","Both sexes","Total","20+","2021–2022*","209","0.83","207","210","0.40","63810","30601870",
"Canada","Females","Total","20+","2021–2022*","154","0.99","152","156","0.64","24125","15640950",
"Canada","Males","Total","20+","2021–2022*","265","1.33","263","268","0.50","39685","14960920",
"Canada","Both sexes","Total","20+","2022–2023*","199","0.80","197","200","0.40","62315","31374210",
"Canada","Females","Total","20+","2022–2023*","149","0.96","147","151","0.65","23875","16029710",
"Canada","Males","Total","20+","2022–2023*","251","1.28","248","253","0.51","38440","15344500",
"Newfoundland and Labrador","Both sexes","Total","20+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2008–2009","345","9.10","327","363","2.64","1435","416130",
"Newfoundland and Labrador","Females","Total","20+","2008–2009","252","10.85","231","274","4.30","540","214210",
"Newfoundland and Labrador","Males","Total","20+","2008–2009","441","14.77","412","471","3.35","890","201920",
"Newfoundland and Labrador","Both sexes","Total","20+","2009–2010","324","8.78","307","342","2.71","1365","420855",
"Newfoundland and Labrador","Females","Total","20+","2009–2010","226","10.23","207","247","4.52","490","216385",
"Newfoundland and Labrador","Males","Total","20+","2009–2010","428","14.47","400","457","3.38","875","204470",
"Newfoundland and Labrador","Both sexes","Total","20+","2010–2011","316","8.63","300","334","2.73","1345","425145",
"Newfoundland and Labrador","Females","Total","20+","2010–2011","236","10.38","216","257","4.41","515","218530",
"Newfoundland and Labrador","Males","Total","20+","2010–2011","404","13.98","377","432","3.46","835","206625",
"Newfoundland and Labrador","Both sexes","Total","20+","2011–2012","285","8.15","269","301","2.86","1220","428450",
"Newfoundland and Labrador","Females","Total","20+","2011–2012","209","9.74","190","229","4.66","460","220290",
"Newfoundland and Labrador","Males","Total","20+","2011–2012","368","13.29","342","394","3.62","765","208160",
"Newfoundland and Labrador","Both sexes","Total","20+","2012–2013","289","8.19","273","306","2.83","1245","430685",
"Newfoundland and Labrador","Females","Total","20+","2012–2013","208","9.68","189","227","4.66","460","221555",
"Newfoundland and Labrador","Males","Total","20+","2012–2013","371","13.31","345","398","3.59","775","209125",
"Newfoundland and Labrador","Both sexes","Total","20+","2013–2014","296","8.28","280","313","2.80","1280","431915",
"Newfoundland and Labrador","Females","Total","20+","2013–2014","203","9.55","184","222","4.71","450","222115",
"Newfoundland and Labrador","Males","Total","20+","2013–2014","396","13.73","369","423","3.47","830","209800",
"Newfoundland and Labrador","Both sexes","Total","20+","2014–2015","298","8.32","282","315","2.79","1285","430905",
"Newfoundland and Labrador","Females","Total","20+","2014–2015","201","9.51","182","220","4.74","445","221705",
"Newfoundland and Labrador","Males","Total","20+","2014–2015","404","13.89","377","432","3.44","845","209205",
"Newfoundland and Labrador","Both sexes","Total","20+","2015–2016","321","8.65","305","339","2.69","1380","429295",
"Newfoundland and Labrador","Females","Total","20+","2015–2016","237","10.35","217","258","4.36","525","221385",
"Newfoundland and Labrador","Males","Total","20+","2015–2016","411","14.06","384","440","3.42","855","207915",
"Newfoundland and Labrador","Both sexes","Total","20+","2016–2017","320","8.61","303","337","2.69","1380","431490",
"Newfoundland and Labrador","Females","Total","20+","2016–2017","231","10.20","212","252","4.41","515","222475",
"Newfoundland and Labrador","Males","Total","20+","2016–2017","414","14.07","387","442","3.40","865","209015",
