"Data Table: Ischemic heart disease, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Canada","Males","Total","20+","2020–2021*","650","2.16","645","654","0.33","90795","13976780",
"Canada","Both sexes","Total","20+","2021–2022*","573","1.41","570","575","0.25","164945","28803170",
"Canada","Females","Total","20+","2021–2022*","476","1.79","472","479","0.38","70580","14830855",
"Canada","Males","Total","20+","2021–2022*","675","2.20","671","680","0.33","94370","13972320",
"Canada","Both sexes","Total","20+","2022–2023*","559","1.38","557","562","0.25","165165","29524315",
"Canada","Females","Total","20+","2022–2023*","466","1.75","462","469","0.38","70735","15195125",
"Canada","Males","Total","20+","2022–2023*","659","2.14","655","663","0.33","94430","14329185",
"Newfoundland and Labrador","Both sexes","Total","20+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2008–2009","800","14.29","772","828","1.79","3130","391430",
"Newfoundland and Labrador","Females","Total","20+","2008–2009","660","18.02","625","696","2.73","1340","203150",
"Newfoundland and Labrador","Males","Total","20+","2008–2009","951","22.47","907","996","2.36","1790","188280",
"Newfoundland and Labrador","Both sexes","Total","20+","2009–2010","686","13.17","661","713","1.92","2715","395640",
"Newfoundland and Labrador","Females","Total","20+","2009–2010","541","16.24","510","574","3.00","1110","205095",
"Newfoundland and Labrador","Males","Total","20+","2009–2010","842","21.03","802","885","2.50","1605","190540",
"Newfoundland and Labrador","Both sexes","Total","20+","2010–2011","625","12.51","601","650","2.00","2500","399710",
"Newfoundland and Labrador","Females","Total","20+","2010–2011","492","15.42","463","524","3.13","1020","207155",
"Newfoundland and Labrador","Males","Total","20+","2010–2011","769","19.98","730","809","2.60","1480","192555",
"Newfoundland and Labrador","Both sexes","Total","20+","2011–2012","581","12.00","557","605","2.07","2340","403005",
"Newfoundland and Labrador","Females","Total","20+","2011–2012","459","14.83","431","489","3.23","960","208945",
"Newfoundland and Labrador","Males","Total","20+","2011–2012","711","19.14","674","750","2.69","1380","194060",
"Newfoundland and Labrador","Both sexes","Total","20+","2012–2013","564","11.80","541","587","2.09","2285","405225",
"Newfoundland and Labrador","Females","Total","20+","2012–2013","421","14.15","394","450","3.36","885","210240",
"Newfoundland and Labrador","Males","Total","20+","2012–2013","715","19.16","678","754","2.68","1395","194980",
"Newfoundland and Labrador","Both sexes","Total","20+","2013–2014","576","11.90","552","599","2.07","2340","406600",
"Newfoundland and Labrador","Females","Total","20+","2013–2014","420","14.10","392","448","3.36","885","210950",
